account_id,risk_score_max,risk_score_mean,profile,is_at_risk_true,n_transactions,avg_night_ratio,avg_tx_24h,avg_unique_recv,avg_burst_score,avg_temporal_shift,avg_qris_ratio,final_risk_score,risk_level,recommendation,top_triggers,explanation
AUG_0021,60.5,26.189285,normal,0,28,0.4342642857142857,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.1598642857142857,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan pola aktivitas malam yang mencurigakan dan minim penggunaan fitur transaksi normal seperti QRIS.  
[INDIKATOR] Rasio aktivitas malam tinggi (43.43%), pergeseran ke aktivitas malam signifikan (+0.160), dan rasio penggunaan QRIS 0.00%.  
[TINDAKAN] Lakukan verifikasi tambahan pada pemilik akun untuk memastikan aktivitas sesuai dengan profil pengguna dan tidak terkait aktivitas mencurigakan."
AUG_0022,60.9,19.817858,normal,0,28,0.3226178571428572,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.1101142857142857,0.0,60.9,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima,"[RINGKASAN] Akun memiliki profil risiko tinggi dengan aktivitas malam yang signifikan dan pola transaksi yang tidak biasa, berpotensi terkait aktivitas mencurigakan.  
[INDIKATOR]  
1. Rasio aktivitas malam tinggi: 32.26% dengan pergeseran ke aktivitas malam +0.110.  
2. Rasio penggunaan QRIS 0.00%, menunjukkan pola transaksi yang tidak umum untuk e-wallet.  
3. Burst score 0.82x, mengindikasikan lonjakan aktivitas yang tidak konsisten.  
[TINDAKAN] Lakukan verifikasi mendalam terhadap identitas dan pola transaksi akun, serta pantau aktivitas secara real-time untuk mendeteksi potensi pelanggaran lebih lanjut."
AUG_0023,60.5,12.410714,normal,0,28,0.1089285714285714,0.4285714285714285,2.7857142857142856,0.8196464285714286,-0.0172642857142857,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Velocity burst,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan aktivitas yang tidak wajar dan pola transaksi yang minim namun konsisten, berpotensi terkait dengan aktivitas pasif atau penghindaran deteksi.  
[INDIKATOR] Risk Score tinggi (60.5/100), rasio aktivitas malam signifikan (10.89%), dan rasio penggunaan QRIS 0.00% menunjukkan pola transaksi yang tidak lazim.  
[TINDAKAN] Lakukan pemeriksaan lebih lanjut terhadap sumber dana dan tujuan transaksi, serta verifikasi identitas pengguna untuk memastikan kepatuhan terhadap regulasi."
AUG_0024,70.8,25.439285,normal,0,28,0.4342642857142857,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.1598642857142857,0.0,70.8,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan pola aktivitas malam yang mencurigakan dan rendahnya penggunaan fitur transaksi resmi seperti QRIS.  
[INDIKATOR] Rasio aktivitas malam tinggi (43.43%), pergeseran ke aktivitas malam signifikan (+0.160), dan rasio penggunaan QRIS 0.00%.  
[TINDAKAN] Lakukan investigasi mendalam terhadap pola transaksi akun, termasuk verifikasi identitas pengguna dan sumber dana."
AUG_0025,60.5,15.114286,normal,0,28,0.2666678571428572,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.0017857142857142,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi,"[RINGKASAN] Akun memiliki profil risiko tinggi dengan aktivitas malam yang signifikan dan pola transaksi yang tidak wajar, berpotensi terkait aktivitas mencurigakan.  
[INDIKATOR]  
1. Rasio aktivitas malam tinggi: 26.67%.  
2. Rasio penggunaan QRIS nol: 0.00%.  
3. Burst score menunjukkan lonjakan aktivitas: 0.82x.  
[TINDAKAN] Lakukan verifikasi tambahan terhadap identitas pemilik akun dan tinjau riwayat transaksi untuk mendeteksi potensi pelanggaran atau aktivitas ilegal."
AUG_0026,60.5,12.903571,normal,0,28,0.2666678571428572,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.0017857142857142,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan aktivitas yang menunjukkan pola tidak wajar, termasuk rasio aktivitas malam yang signifikan dan minimnya penggunaan QRIS.

[INDIKATOR] 
1. Rasio aktivitas malam dalam 7 hari terakhir mencapai 26.67%, jauh di atas rata-rata normal.  
2. Rasio penggunaan QRIS adalah 0.00%, menunjukkan potensi aktivitas non-transparan.  
3. Burst score sebesar 0.82x mengindikasikan lonjakan frekuensi transaksi yang tidak biasa.

[TINDAKAN] Lakukan verifikasi mendalam terhadap identitas pemilik akun dan tinjau pola transaksi untuk memastikan tidak ada indikasi aktivitas ilegal atau pencucian uang."
AUG_0027,60.5,14.642858,normal,0,28,0.1089285714285714,0.4285714285714285,2.7857142857142856,0.8196464285714286,-0.0172642857142857,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Velocity burst,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan aktivitas yang tidak wajar meskipun frekuensi transaksi relatif rendah.  
[INDIKATOR] Risk Score tinggi (60.5/100), rasio aktivitas malam signifikan (10.89%), dan rasio penggunaan QRIS 0.00% menunjukkan pola transaksi yang tidak umum.  
[TINDAKAN] Lakukan pemeriksaan lebih lanjut terhadap sumber dana dan tujuan transaksi untuk memastikan tidak ada indikasi aktivitas mencurigakan atau melanggar hukum."
AUG_0028,64.7,18.557142,normal,0,28,0.2880964285714286,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.1160714285714285,0.0,64.7,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan aktivitas malam yang signifikan dan pola transaksi yang tidak wajar.  
[INDIKATOR] Rasio aktivitas malam tinggi (28.81%), pergeseran ke aktivitas malam positif (+0.116), dan penggunaan QRIS nol (0.00%).  
[TINDAKAN] Lakukan verifikasi tambahan pada identitas pemilik akun dan tinjau riwayat transaksi untuk mendeteksi potensi aktivitas mencurigakan."
AUG_0029,68.9,17.642857,normal,0,28,0.2880964285714286,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.1160714285714285,0.0,68.9,High,"Batasi nominal transfer harian, minta konfirmasi",Aktivitas malam tinggi & Banyak penerima,"[RINGKASAN] Akun ini memiliki profil risiko tinggi dengan pola aktivitas yang mencurigakan, terutama terkait pergeseran ke aktivitas malam dan rendahnya penggunaan fitur QRIS.  
[INDIKATOR]  
1. Rasio aktivitas malam tinggi: 28.81% (+0.116 pergeseran).  
2. Rasio penggunaan QRIS sangat rendah: 0.00%.  
3. Burst score menunjukkan lonjakan aktivitas: 0.82x.  
[TINDAKAN] Lakukan investigasi lebih lanjut terhadap pola transaksi akun ini, termasuk verifikasi identitas pengguna dan analisis tujuan transaksi."
AUG_0030,60.5,15.342857,normal,0,28,0.2666678571428572,0.4285714285714285,2.7857142857142856,0.8196464285714286,0.0017857142857142,0.0,60.5,High,"Batasi nominal transfer harian, minta konfirmasi",Banyak penerima & Aktivitas malam tinggi,"[RINGKASAN] Akun memiliki profil risiko tinggi dengan pola aktivitas malam yang signifikan dan minim penggunaan metode transaksi umum seperti QRIS, sehingga berpotensi terkait aktivitas mencurigakan.  
[INDIKATOR] 1) Rasio aktivitas malam tinggi (26.67%), 2) Rasio penggunaan QRIS 0.00%, 3) Burst score menunjukkan lonjakan frekuensi (0.82x).  
[TINDAKAN] Lakukan verifikasi tambahan terhadap identitas pemilik akun dan tinjau riwayat transaksi untuk memastikan tidak ada indikasi aktivitas ilegal."
